# Temp(K)	Pressure(MPa)	Experimental(mW/m*K)	NIST(mW/m*K)	Model(mW/m*K)
1.338739999999999952e+02	3.150000000000000022e-01	1.480000000000000071e+01	1.441009999999999991e+01	2.319933017700605049e+01
1.443300000000000125e+02	3.569999999999999840e-01	1.590000000000000036e+01	1.560379999999999967e+01	2.497442446985800046e+01
1.440240000000000009e+02	6.500000000000000222e-01	1.660000000000000142e+01	1.641769999999999996e+01	2.502173028905069785e+01
1.539219999999999970e+02	4.289999999999999925e-01	1.700000000000000000e+01	1.678920000000000101e+01	2.661413010760490394e+01
1.542340000000000089e+02	7.309999999999999831e-01	1.769999999999999929e+01	1.752099999999999724e+01	2.676855119260075000e+01
1.539190000000000111e+02	1.082000000000000073e+00	1.859999999999999787e+01	1.866599999999999682e+01	2.683390692984754367e+01
1.643849999999999909e+02	4.460000000000000075e-01	1.810000000000000142e+01	1.797510000000000119e+01	2.838196982799582102e+01
1.640589999999999975e+02	9.350000000000000533e-01	1.900000000000000000e+01	1.892740000000000222e+01	2.849202573987750853e+01
1.636169999999999902e+02	1.657000000000000028e+00	2.139999999999999858e+01	2.144089999999999918e+01	2.866112631084806139e+01
1.745409999999999968e+02	4.060000000000000275e-01	1.909999999999999787e+01	1.906909999999999883e+01	3.007887846852487357e+01
1.741570000000000107e+02	1.014999999999999902e+00	2.019999999999999929e+01	2.006439999999999912e+01	3.021964705161105158e+01
1.737539999999999907e+02	1.750999999999999890e+00	2.200000000000000000e+01	2.198499999999999943e+01	3.040003585885391502e+01
1.732520000000000095e+02	2.460999999999999854e+00	2.560000000000000142e+01	2.574819999999999709e+01	3.055494066421629640e+01
1.746920000000000073e+02	2.644000000000000128e+00	9.420000000000000284e+01	2.705659999999999954e+01	3.085917312496806986e+01
1.846649999999999920e+02	7.520000000000000018e-01	2.060000000000000142e+01	2.074549999999999983e+01	3.190061056704800535e+01
1.848439999999999941e+02	1.508000000000000007e+00	2.200000000000000000e+01	2.213889999999999958e+01	3.218578441963887116e+01
1.844389999999999930e+02	2.251999999999999780e+00	2.400000000000000000e+01	2.415950000000000131e+01	3.236849728373758950e+01
1.841450000000000102e+02	2.883999999999999897e+00	2.700000000000000000e+01	2.713200000000000145e+01	3.253212650438413789e+01
1.838569999999999993e+02	3.450000000000000178e+00	3.320000000000000284e+01	3.294749999999999801e+01	3.267450762288562771e+01
1.993040000000000020e+02	1.012999999999999901e+00	2.270000000000000284e+01	2.268430000000000035e+01	3.445405347592658529e+01
1.986069999999999993e+02	1.530999999999999917e+00	2.330000000000000071e+01	2.338850000000000051e+01	3.451141099122011724e+01
1.986999999999999886e+02	2.669999999999999929e+00	2.589999999999999858e+01	2.575370000000000203e+01	3.491121362857408172e+01
1.983650000000000091e+02	3.520000000000000018e+00	2.880000000000000071e+01	2.868079999999999785e+01	3.514145866976646460e+01
1.983629999999999995e+02	4.155999999999999694e+00	3.250000000000000000e+01	3.238259999999999650e+01	3.535561364552336272e+01
2.142290000000000134e+02	1.068000000000000060e+00	2.429999999999999716e+01	2.434959999999999880e+01	3.698617075835119294e+01
2.145459999999999923e+02	1.747000000000000108e+00	2.530000000000000071e+01	2.524399999999999977e+01	3.726861053465927398e+01
2.141100000000000136e+02	3.036000000000000032e+00	2.759999999999999787e+01	2.736819999999999808e+01	3.762990005099219104e+01
2.138429999999999893e+02	4.165000000000000036e+00	3.070000000000000284e+01	3.024279999999999902e+01	3.796569031423884155e+01
2.340320000000000107e+02	9.779999999999999805e-01	2.639999999999999858e+01	2.649450000000000216e+01	4.029089244943205017e+01
2.350910000000000082e+02	3.145999999999999908e+00	2.939999999999999858e+01	2.921160000000000068e+01	4.120048191256388037e+01
2.549000000000000057e+02	1.018999999999999906e+00	2.889999999999999858e+01	2.901419999999999888e+01	4.381916530734152104e+01
2.555889999999999986e+02	2.714999999999999858e+00	3.080000000000000071e+01	3.074249999999999972e+01	4.450726710740623560e+01
2.749359999999999786e+02	1.014999999999999902e+00	3.139999999999999858e+01	3.151199999999999690e+01	4.719213833549613923e+01
