# Temp(K)	Pressure(MPa)	Experimental(mW/m*K)	NIST(mW/m*K)	Model(mW/m*K)
1.338739999999999952e+02	3.150000000000000022e-01	1.480000000000000071e+01	1.441009999999999991e+01	1.895418049616315415e+01
1.443300000000000125e+02	3.569999999999999840e-01	1.590000000000000036e+01	1.560379999999999967e+01	1.959530142851366108e+01
1.440240000000000009e+02	6.500000000000000222e-01	1.660000000000000142e+01	1.641769999999999996e+01	1.962812281814351323e+01
1.539219999999999970e+02	4.289999999999999925e-01	1.700000000000000000e+01	1.678920000000000101e+01	2.023336717082542791e+01
1.542340000000000089e+02	7.309999999999999831e-01	1.769999999999999929e+01	1.752099999999999724e+01	2.031180118909993837e+01
1.539190000000000111e+02	1.082000000000000073e+00	1.859999999999999787e+01	1.866599999999999682e+01	2.035766983613108039e+01
1.643849999999999909e+02	4.460000000000000075e-01	1.810000000000000142e+01	1.797510000000000119e+01	2.092933891839187055e+01
1.640589999999999975e+02	9.350000000000000533e-01	1.900000000000000000e+01	1.892740000000000222e+01	2.100496038836359602e+01
1.636169999999999902e+02	1.657000000000000028e+00	2.139999999999999858e+01	2.144089999999999918e+01	2.107560377404634266e+01
1.745409999999999968e+02	4.060000000000000275e-01	1.909999999999999787e+01	1.906909999999999883e+01	2.167311364275081331e+01
1.741570000000000107e+02	1.014999999999999902e+00	2.019999999999999929e+01	2.006439999999999912e+01	2.177480439200347462e+01
1.737539999999999907e+02	1.750999999999999890e+00	2.200000000000000000e+01	2.198499999999999943e+01	2.188277958357781117e+01
1.732520000000000095e+02	2.460999999999999854e+00	2.560000000000000142e+01	2.574819999999999709e+01	2.199260666678485521e+01
1.746920000000000073e+02	2.644000000000000128e+00	9.420000000000000284e+01	2.705659999999999954e+01	2.214549191682210250e+01
1.846649999999999920e+02	7.520000000000000018e-01	2.060000000000000142e+01	2.074549999999999983e+01	2.254604261212036320e+01
1.848439999999999941e+02	1.508000000000000007e+00	2.200000000000000000e+01	2.213889999999999958e+01	2.273368441198952894e+01
1.844389999999999930e+02	2.251999999999999780e+00	2.400000000000000000e+01	2.415950000000000131e+01	2.284834146916642794e+01
1.841450000000000102e+02	2.883999999999999897e+00	2.700000000000000000e+01	2.713200000000000145e+01	2.296662371746872822e+01
1.838569999999999993e+02	3.450000000000000178e+00	3.320000000000000284e+01	3.294749999999999801e+01	2.307240751824461356e+01
1.993040000000000020e+02	1.012999999999999901e+00	2.270000000000000284e+01	2.268430000000000035e+01	2.384372487467581081e+01
1.986069999999999993e+02	1.530999999999999917e+00	2.330000000000000071e+01	2.338850000000000051e+01	2.391042326181744571e+01
1.986999999999999886e+02	2.669999999999999929e+00	2.589999999999999858e+01	2.575370000000000203e+01	2.417774814381995796e+01
1.983650000000000091e+02	3.520000000000000018e+00	2.880000000000000071e+01	2.868079999999999785e+01	2.435596304307340887e+01
1.983629999999999995e+02	4.155999999999999694e+00	3.250000000000000000e+01	3.238259999999999650e+01	2.451072120181223823e+01
2.142290000000000134e+02	1.068000000000000060e+00	2.429999999999999716e+01	2.434959999999999880e+01	2.521646276638549722e+01
2.145459999999999923e+02	1.747000000000000108e+00	2.530000000000000071e+01	2.524399999999999977e+01	2.541120814066089650e+01
2.141100000000000136e+02	3.036000000000000032e+00	2.759999999999999787e+01	2.736819999999999808e+01	2.570724670553044433e+01
2.138429999999999893e+02	4.165000000000000036e+00	3.070000000000000284e+01	3.024279999999999902e+01	2.597857129775498564e+01
2.340320000000000107e+02	9.779999999999999805e-01	2.639999999999999858e+01	2.649450000000000216e+01	2.714314810168556491e+01
2.350910000000000082e+02	3.145999999999999908e+00	2.939999999999999858e+01	2.921160000000000068e+01	2.786525308592741368e+01
2.549000000000000057e+02	1.018999999999999906e+00	2.889999999999999858e+01	2.901419999999999888e+01	2.939637302935928176e+01
2.555889999999999986e+02	2.714999999999999858e+00	3.080000000000000071e+01	3.074249999999999972e+01	2.999421654033627860e+01
2.749359999999999786e+02	1.014999999999999902e+00	3.139999999999999858e+01	3.151199999999999690e+01	3.172511644135144593e+01
2.751129999999999995e+02	2.495999999999999996e+00	3.280000000000000426e+01	3.278059999999999974e+01	3.223661008961646246e+01
2.747669999999999959e+02	4.448000000000000398e+00	3.500000000000000000e+01	3.476690000000000680e+01	3.285239848609106872e+01
2.957440000000000282e+02	9.879999999999999893e-01	3.379999999999999716e+01	3.422830000000000439e+01	3.431968692837056523e+01
2.955070000000000050e+02	1.949000000000000066e+00	3.460000000000000142e+01	3.490010000000000190e+01	3.463155466781571334e+01
2.952019999999999982e+02	3.912999999999999812e+00	3.639999999999999858e+01	3.652309999999999945e+01	3.530173016593278135e+01
3.080769999999999982e+02	1.076000000000000068e+00	3.579999999999999716e+01	3.597920000000000584e+01	3.597353236259522191e+01
3.083210000000000264e+02	2.676000000000000156e+00	3.719999999999999574e+01	3.715769999999999840e+01	3.661697600538910535e+01
1.346450000000000102e+02	3.160000000000000031e-01	1.483000000000000007e+01	1.449049999999999905e+01	1.899899544169890220e+01
1.341189999999999998e+02	3.160000000000000031e-01	1.475000000000000000e+01	1.443769999999999953e+01	1.896850357545504195e+01
1.336059999999999945e+02	3.150000000000000022e-01	1.475000000000000000e+01	1.438339999999999996e+01	1.893819579601489522e+01
1.331270000000000095e+02	3.140000000000000013e-01	1.471000000000000085e+01	1.433279999999999887e+01	1.891007196755791142e+01
1.451510000000000105e+02	3.569999999999999840e-01	1.597000000000000242e+01	1.569150000000000134e+01	1.964736536994095673e+01
1.445490000000000066e+02	3.569999999999999840e-01	1.590000000000000036e+01	1.562710000000000221e+01	1.960900316298130264e+01
1.440339999999999918e+02	3.569999999999999840e-01	1.583999999999999986e+01	1.557230000000000025e+01	1.957464355648747301e+01
1.435869999999999891e+02	3.569999999999999840e-01	1.583999999999999986e+01	1.552480000000000082e+01	1.954898144413962768e+01
1.447460000000000093e+02	6.500000000000000222e-01	1.658000000000000185e+01	1.647339999999999804e+01	1.967420459843031466e+01
1.442580000000000098e+02	6.500000000000000222e-01	1.658999999999999986e+01	1.643560000000000088e+01	1.964394765104581353e+01
1.436899999999999977e+02	6.500000000000000222e-01	1.660000000000000142e+01	1.639250000000000185e+01	1.960796085473829464e+01
1.434029999999999916e+02	6.500000000000000222e-01	1.651999999999999957e+01	1.637109999999999843e+01	1.958915813010138862e+01
1.547100000000000080e+02	4.289999999999999925e-01	1.708000000000000185e+01	1.687480000000000047e+01	2.028631879424487749e+01
1.541289999999999907e+02	4.289999999999999925e-01	1.717000000000000171e+01	1.681159999999999854e+01	2.024729568585438244e+01
1.536870000000000118e+02	4.289999999999999925e-01	1.696999999999999886e+01	1.676370000000000005e+01	2.021810673897046939e+01
1.531610000000000014e+02	4.289999999999999925e-01	1.691000000000000014e+01	1.670670000000000144e+01	2.018227408301708437e+01
1.550000000000000000e+02	7.309999999999999831e-01	1.780999999999999872e+01	1.759029999999999916e+01	2.036380785568795559e+01
1.544600000000000080e+02	7.309999999999999831e-01	1.773000000000000043e+01	1.754129999999999967e+01	2.032361690562134982e+01
1.539830000000000041e+02	7.309999999999999831e-01	1.771000000000000085e+01	1.749849999999999994e+01	2.029469092210860381e+01
1.534929999999999950e+02	7.309999999999999831e-01	1.762000000000000099e+01	1.745489999999999853e+01	2.026203503885134438e+01
1.546109999999999900e+02	1.082000000000000073e+00	1.875999999999999801e+01	1.869669999999999987e+01	2.040186654573636105e+01
1.541649999999999920e+02	1.082000000000000073e+00	1.866000000000000014e+01	1.867660000000000053e+01	2.037466409641407949e+01
1.536220000000000141e+02	1.082000000000000073e+00	1.864000000000000057e+01	1.865360000000000085e+01	2.033770252626648301e+01
1.532769999999999868e+02	1.082000000000000073e+00	1.851999999999999957e+01	1.863990000000000080e+01	2.031139699598037396e+01
1.652489999999999952e+02	4.460000000000000075e-01	1.821000000000000085e+01	1.807200000000000273e+01	2.099166024802737951e+01
1.646270000000000095e+02	4.460000000000000075e-01	1.810999999999999943e+01	1.800219999999999843e+01	2.094673650259618114e+01
1.640080000000000098e+02	4.460000000000000075e-01	1.807000000000000028e+01	1.793290000000000006e+01	2.090235098564013327e+01
1.636539999999999964e+02	4.460000000000000075e-01	1.803000000000000114e+01	1.789329999999999998e+01	2.087699564978800737e+01
1.647889999999999873e+02	9.350000000000000533e-01	1.912000000000000099e+01	1.899370000000000047e+01	2.105787479990050315e+01
1.643360000000000127e+02	9.350000000000000533e-01	1.912000000000000099e+01	1.895240000000000080e+01	2.102505322097838913e+01
1.637369999999999948e+02	9.350000000000000533e-01	1.902999999999999758e+01	1.889829999999999899e+01	2.098169952370764690e+01
1.633720000000000141e+02	9.350000000000000533e-01	1.891000000000000014e+01	1.886570000000000036e+01	2.095541094171940699e+01
1.637700000000000102e+02	1.657000000000000028e+00	2.144000000000000128e+01	2.143810000000000215e+01	2.108679965089499220e+01
1.634350000000000023e+02	1.657000000000000028e+00	2.146999999999999886e+01	2.144449999999999790e+01	2.106226906406702781e+01
1.631109999999999900e+02	1.657000000000000028e+00	2.141000000000000014e+01	2.145189999999999841e+01	2.103857192728176528e+01
1.754670000000000130e+02	4.060000000000000275e-01	1.922000000000000242e+01	1.917599999999999838e+01	2.174379092571787453e+01
1.747800000000000011e+02	4.060000000000000275e-01	1.908999999999999986e+01	1.909659999999999869e+01	2.169132323734293877e+01
1.742439999999999998e+02	4.060000000000000275e-01	1.910999999999999943e+01	1.903480000000000061e+01	2.165043687967605379e+01
